X,Y,OBJECTID,CAM_ID,INC_CRC,FMEL_UPD_D,X_ADDR,Y_ADDR,Type
32793.8665,29422.5369,1,"WB_CH4286 (Right)
",536B41822105C1F8,2016/06/20,32793.8664,29422.5369,MCE_KPE_Camera
32815.0332,29396.2902,2,"WB_CH4286 (Left)
",08281CF61F890E90,2016/06/20,32815.0332,29396.2902,MCE_KPE_Camera
31616.9864,28570.5841,3,WB_CH2780 (Right),834504C55E0A38B6,2016/06/20,31616.9863,28570.5841,MCE_KPE_Camera
31631.9089,28549.682,4,WB_CH2780 (Left),7CCCD31D10A17947,2016/06/20,31631.9089,28549.682,MCE_KPE_Camera
32358.1485,29062.0515,5,EB_CH3642 (Right),BA3D3FE29A21E79B,2016/06/20,32358.1485,29062.0515,MCE_KPE_Camera
32632.5487,33418.325099999,6,NB_CH2250,54797434E33ED9DC,2016/06/20,32632.5487,33418.325,MCE_KPE_Camera
32702.0587,32542.0921,7,SB_CH1350,6E305956C95273E7,2016/06/20,32702.0586,32542.0921,MCE_KPE_Camera
33736.2159,34681.431299999,8,NB_CH4350,43F8DA17F39E748A,2016/06/20,33736.2159,34681.4312,MCE_KPE_Camera
35248.93,36497.5664,9,NB_CH7050,2A83785D812DD616,2016/06/20,35248.9299,36497.5664,MCE_KPE_Camera
33943.789,34866.1446,10,SB_CH4650,37CFA228DB90426A,2016/06/20,33943.7889,34866.1446,MCE_KPE_Camera
35266.4812,36759.980699999,11,SB_CH7350,026D505384D53509,2016/06/20,35266.4812,36759.9806,MCE_KPE_Camera
32337.0214,29085.6524,12,EB_CH3642 (Left),BCD21EC10041F0EF,2016/06/20,32337.0214,29085.6524,MCE_KPE_Camera
32728.7259,30719.4079,13,WB_CH5765 (Right),8DE4AB5282893BE5,2016/06/20,32728.7259,30719.4079,MCE_KPE_Camera
